	Created Date	Sale Price
1	2022-12-31	18.5
2	2022-12-31	25.989999771118164
3	2022-12-31	49.9900016784668
4	2022-12-31	13.020000457763672
5	2022-12-31	64.94999694824219
6	2022-12-31	35
7	2022-12-31	78.75
8	2022-12-31	14
9	2022-12-31	24
10	2022-12-31	405.260009765625
11	2022-12-31	149.5
12	2022-12-31	275
13	2022-12-31	43.9900016784668
14	2022-12-31	34.95000076293945
15	2022-12-31	109
16	2022-12-31	74.94999694824217
17	2022-12-31	35.95000076293945
18	2022-12-31	41.9900016784668
19	2022-12-31	54.9900016784668
20	2022-12-31	70
21	2022-12-31	120
22	2022-12-31	29.5
23	2022-12-31	42.9900016784668
24	2022-12-31	89.98999786376953
25	2022-12-31	45
26	2022-12-31	85.9000015258789
27	2022-12-31	239.94999694824216
28	2022-12-31	30.989999771118164
29	2022-12-31	22
30	2022-12-31	54
31	2022-12-31	26
32	2022-12-31	36.950000762939446
33	2022-12-31	17.989999771118164
34	2022-12-31	49
35	2022-12-31	19.600000381469727
36	2022-12-31	11.779999732971191
37	2022-12-31	36
38	2022-12-31	39.880001068115234
39	2022-12-31	69
40	2022-12-31	14.989999771118164
41	2022-12-31	55
42	2022-12-31	26.96999931335449
43	2022-12-31	17
44	2022-12-31	20.950000762939453
45	2022-12-31	44.9900016784668
46	2022-12-31	21.979999542236328
47	2022-12-31	10
48	2022-12-31	179
49	2022-12-31	69.94999694824219
50	2022-12-31	58.9900016784668
51	2022-12-31	115
52	2022-12-31	99.98999786376952
53	2022-12-31	52
54	2022-12-31	6.989999771118164
55	2022-12-31	42.430000305175774
56	2022-12-31	78.98999786376953
57	2022-12-31	59.9900016784668
58	2022-12-31	13.720000267028809
59	2022-12-31	238.97999572753903
60	2022-12-31	79.98999786376953
61	2022-12-31	67.98999786376953
62	2022-12-31	903
63	2022-12-31	24.950000762939453
64	2022-12-31	29
65	2022-12-31	53.9900016784668
66	2022-12-31	26.8799991607666
67	2022-12-31	24.989999771118164
68	2022-12-31	94
69	2022-12-31	52.5
70	2022-12-31	147.99000549316406
71	2022-12-31	12.989999771118164
72	2022-12-31	119
73	2022-12-31	158
74	2022-12-31	37.950000762939446
75	2022-12-31	40
76	2022-12-31	32.16999816894531
77	2022-12-31	215
78	2022-12-31	152.25
79	2022-12-31	21.989999771118164
80	2022-12-31	60
81	2022-12-31	250
82	2022-12-31	495
83	2022-12-31	15
84	2022-12-31	63
85	2022-12-31	53
86	2022-12-31	11.989999771118164
87	2022-12-31	20
88	2022-12-31	29.989999771118164
89	2022-12-31	84.6500015258789
90	2022-12-31	48
91	2022-12-31	11.949999809265137
92	2022-12-31	66
93	2022-12-31	69.5
94	2022-12-31	13.5
95	2022-12-31	78
96	2022-12-31	17.950000762939453
97	2022-12-31	10.979999542236328
98	2022-12-31	10.970000267028809
99	2022-12-31	40.540000915527344
100	2022-12-31	269.3900146484375
101	2022-12-31	89.5
102	2022-12-31	64
103	2022-12-31	214
104	2022-12-31	2.990000009536743
105	2022-12-31	98
106	2022-12-31	22.790000915527344
107	2022-12-31	50.650001525878906
108	2022-12-31	36.9099998474121
109	2022-12-31	27.82999992370605
110	2022-12-31	29.950000762939453
111	2022-12-31	75
112	2022-12-31	46
113	2022-12-31	99
114	2022-12-31	52.950000762939446
115	2022-12-31	55.7599983215332
116	2022-12-31	7.989999771118163
117	2022-12-31	88
118	2022-12-31	25
119	2022-12-31	141
120	2022-12-31	47.9900016784668
121	2022-12-31	59
122	2022-12-31	11.770000457763672
123	2022-12-31	17.93000030517578
124	2022-12-31	6.949999809265137
125	2022-12-30	11.989999771118164
126	2022-12-30	76.27999877929686
127	2022-12-30	9.979999542236328
128	2022-12-30	10.220000267028809
129	2022-12-30	55
130	2022-12-30	13
131	2022-12-30	68.01000213623047
132	2022-12-30	19.989999771118164
133	2022-12-30	54
134	2022-12-30	79
135	2022-12-30	14.949999809265137
136	2022-12-30	39.9900016784668
137	2022-12-30	36.950000762939446
138	2022-12-30	209.9900054931641
139	2022-12-30	53.950000762939446
140	2022-12-30	59.9900016784668
141	2022-12-30	17.280000686645508
142	2022-12-30	22.36000061035156
143	2022-12-30	68
144	2022-12-30	9
145	2022-12-30	32
146	2022-12-30	22
147	2022-12-30	16.950000762939453
148	2022-12-30	29.989999771118164
149	2022-12-30	16
150	2022-12-30	10
151	2022-12-30	100
152	2022-12-30	110
153	2022-12-30	29
154	2022-12-30	16.3799991607666
155	2022-12-30	49.9900016784668
156	2022-12-30	24
157	2022-12-30	39.5099983215332
158	2022-12-30	24.979999542236328
159	2022-12-30	62
160	2022-12-30	109.22000122070312
161	2022-12-30	54.59999847412109
162	2022-12-30	29.40999984741211
